PAIR_ID;NODE_ID_A;FRASE_A;NODE_ID_B;FRASE_B;RELATION_TYPE;CONFIDENCE
11;regolamento:121-bis:1;Ai sensi dell’art. 27-bis dello Statuto, i Direttori di dipartimento (di seguito il Collegio) si riuniscono periodicamente in seduta collegiale.;statuto:27-bis;"Nel rispetto delle competenze previste dallo Statuto e fermo restando quanto stabilito dall’art. 11 con riguardo agli organi di Ateneo, è istituito il Collegio dei Direttori di Dipartimento (di seguito Collegio). Il Collegio ha la finalità di promuovere e sviluppare il coordinamento tra i diversi dipartimenti e tra questi e il Rettore, il Senato accademico e il Consiglio di Amministrazione, nonché favorire la sinergia con il Direttore generale e gli altri dirigenti. Per il conseguimento di tali finalità esercita funzioni propositive e consultive. Il Collegio è composto dai Direttori di dipartimento. Il Collegio designa, tra i suoi componenti, un Coordinatore che lo convoca e lo presiede. Il Coordinatore dura in carica un anno. Alle riunioni del Collegio possono partecipare il Rettore e il Direttore generale nonché, su invito del Coordinatore, le persone indicate nell’art. 121-quater, comma 2, del Regolamento Generale di Ateneo. Il Collegio formula proposte al Rettore e al Direttore generale su materie di interesse comune ai dipartimenti e, in particolare, su quelle relative a: a. coordinamento delle attività dei dipartimenti; b. interazione e raccordo con le attività del Direttore generale e degli altri dirigenti; c. procedure amministrative dell’Ateneo e loro uniforme applicazione. Le proposte del Collegio sono trasmesse al Rettore, e, per quanto di competenza, al Direttore Generale. Il Rettore valuta la presentazione delle proposte al Consiglio di Amministrazione e/o al Senato accademico quali argomenti oggetto di comunicazione, esame e/o discussione. Su richiesta del Rettore, del Senato accademico o del Consiglio di amministrazione, il Collegio esprime pareri su materie di interesse comune dei dipartimenti.";explicit_reference;1.0
12;regolamento:122:1;Ai sensi dell’art. 28 dello Statuto la Scuola interdipartimentale è la struttura di raccordo tra più dipartimenti, raggruppati in relazione a criteri di affinità disciplinare riguardanti l’offerta didattica, con funzioni di coordinamento e di razionalizzazione delle attività didattiche nonché di gestione di servizi comuni.;statuto:28;"Per il coordinamento e la razionalizzazione di attività didattiche due o più dipartimenti, raggruppati in relazione a criteri di affinità disciplinare riguardanti l’offerta didattica, possono proporre, a maggioranza dei componenti dei rispettivi consigli, l’istituzione di una struttura di raccordo denominata Scuola. L’istituzione e l’attivazione della Scuola è deliberata dal Consiglio di Amministrazione previo parere del Senato accademico. L’afferenza di un dipartimento a scuole già esistenti è deliberata, su proposta del relativo Consiglio formulata a maggioranza dei suoi componenti, previo parere favorevole della Scuola, dal Consiglio di Amministrazione previo parere del Senato accademico. Ove alle funzioni didattiche e di ricerca si affianchino funzioni assistenziali, al fine di garantire l’integrazione e l’inscindibilità di queste ultime con quelle di insegnamento e di ricerca, la Scuola assume la responsabilità dei rapporti con il servizio sanitario nazionale e le sue diramazioni territoriali, coordina le proposte dei dipartimenti in materia di didattica ed esprime un parere sulle proposte di questi ultimi in materia di programmazione delle risorse. Il recesso di un dipartimento dalla Scuola è deliberato, su proposta del relativo Consiglio formulata a maggioranza dei suoi componenti, dal Consiglio di Amministrazione previo parere del Senato accademico. Il numero delle scuole non può essere superiore a dodici. Ciascun dipartimento può far parte di una sola Scuola, salvo il caso in cui, in relazione al numero e alla rilevanza degli insegnamenti di sua pertinenza, e sulla base di criteri definiti nel Regolamento Generale di Ateneo, possa essere autorizzato dal Consiglio di Amministrazione, previo parere del Senato accademico, a far parte di più scuole. In ogni caso, ai fini della possibilità di costituire una Scuola, ciascun dipartimento può essere conteggiato una sola volta. Sono organi della Scuola: a. il Consiglio; b. il Presidente; c. la Commissione paritetica docenti-studenti. La Scuola si dota di un proprio regolamento di funzionamento approvato dal relativo Consiglio, trasmesso al Senato accademico per i controlli previsti dall’art. 46, ed è emanato con decreto del Rettore. L’istituzione di una Scuola deve avvenire senza oneri aggiuntivi a carico del bilancio di Ateneo.";explicit_reference;1.0
13;regolamento:125:1;"Ai sensi dell’art. 39, comma 5, dello Statuto, e nell’osservanza della disciplina di cui al presente Regolamento, possono essere istituite le seguenti tipologie di centri di Ateneo per promuovere, coordinare e sviluppare attività di ricerca e/o formative ovvero per la gestione o fornitura di servizi di particolare complessità e di interesse generale che interessino in via permanente l’Ateneo: a) di ricerca; b) di formazione; c) di servizio.";statuto:39:5;"Per lo svolgimento di attività formative e/o di ricerca e/o di fornitura e gestione di servizi che interessino in via permanente l’intero Ateneo il Consiglio di Amministrazione, anche su proposta del Senato accademico, può istituire appositi centri di Ateneo; in tal caso il Consiglio di Amministrazione nell’istituire detti centri può assegnare risorse logistiche, di personale e finanziarie. Alle strutture di cui al presente comma il Consiglio di Amministrazione può conferire autonomia gestionale e amministrativa da esercitarsi secondo le modalità previste nel Regolamento di Ateneo per l’Amministrazione, la Finanza e la Contabilità. Analoga disciplina si applica ai centri di cui ai commi 1 e 2 che il Consiglio di Amministrazione, su proposta del Senato accademico, ritenga di valenza generale e permanente per l’Ateneo.";explicit_reference;1.0
14;regolamento:130:1;"Ai sensi dell’art. 39, commi 1 e 2 dello Statuto, e nell’osservanza della disciplina di cui al presente Regolamento, possono essere costituite le seguenti tipologie di centri interdipartimentali: a) di ricerca; b) di formazione; c) di servizio.";statuto:39;"Il Consiglio di Amministrazione, sentito il Senato accademico, può deliberare la costituzione di centri interdipartimentali di formazione e/o ricerca per lo svolgimento di attività formative e/o di ricerca di interesse comune, oppure di rilevante impegno, anche finanziario, che si esplichino su progetti o programmi di durata pluriennale e che coinvolgano docenti afferenti a più dipartimenti. Il Consiglio di Amministrazione, sentito il Senato accademico, può deliberare la costituzione di centri interdipartimentali di servizio per la predisposizione e la fornitura di servizi di interesse comune oppure per la gestione e l’utilizzazione di servizi ed apparecchiature complesse a carattere didattico o scientifico di uso e di interesse comune a più dipartimenti. La proposta di istituzione dei centri di cui ai commi 1 e 2 è formulata dai dipartimenti interessati, i quali devono assicurare per il loro funzionamento le necessarie risorse finanziarie, di personale e logistiche. È fatta salva la possibilità che i regolamenti dei dipartimenti prevedano la costituzione di centri dipartimentali per la gestione di particolari attività di formazione, di ricerca o di servizi. È fatta inoltre salva la possibilità che i regolamenti dei sistemi prevedano la costituzione al loro interno di centri di servizio. Per lo svolgimento di attività formative e/o di ricerca e/o di fornitura e gestione di servizi che interessino in via permanente l’intero Ateneo il Consiglio di Amministrazione, anche su proposta del Senato accademico, può istituire appositi centri di Ateneo; in tal caso il Consiglio di Amministrazione nell’istituire detti centri può assegnare risorse logistiche, di personale e finanziarie. Alle strutture di cui al presente comma il Consiglio di Amministrazione può conferire autonomia gestionale e amministrativa da esercitarsi secondo le modalità previste nel Regolamento di Ateneo per l’Amministrazione, la Finanza e la Contabilità. Analoga disciplina si applica ai centri di cui ai commi 1 e 2 che il Consiglio di Amministrazione, su proposta del Senato accademico, ritenga di valenza generale e permanente per l’Ateneo. Per lo svolgimento di attività formative e di ricerca di comune interesse, ovvero per lo svolgimento in collaborazione di attività istituzionali o di attività di supporto, strumentali o comunque collegate a esse di interesse comune, possono essere stabilite forme di collaborazione con altre università e/o enti pubblici e privati, attraverso la stipula di convenzioni ovvero la costituzione di centri interuniversitari e di consorzi di diritto pubblico. Per le medesime finalità di cui al comma 6 l’Università può stipulare nei limiti consentiti dalla legge contratti associativi per la costituzione o l’acquisizione di partecipazioni in organismi di diritto privato, sempre che sia garantita in base alla legge medesima o a valido patto sociale la responsabilità limitata dell’Università. Le procedure per la costituzione dei centri di cui al presente articolo e le norme generali per il loro funzionamento sono contenute nel Regolamento Generale di Ateneo. La stipulazione delle convenzioni e dei contratti di cui ai commi 6 e 7 è autorizzata, sentito il Senato accademico, dal Consiglio di Amministrazione.";explicit_reference;1.0
15;regolamento:133:2;"Il Direttore rappresenta il centro, esercita funzioni di iniziativa e promozione delle attività del centro, convoca e presiede il Consiglio e predispone la relazione annuale sull’attività del centro stesso che sottopone al Consiglio per l’approvazione per il successivo inoltro ai dipartimenti afferenti e all’amministrazione universitaria; organizza il lavoro del personale tecnico- amministrativo messo a disposizione del centro dai dipartimenti secondo i criteri fissati nei provvedimenti di cui all’art. 17, comma 2, dello Statuto.";statuto:17:2;"Il Direttore generale, in particolare: a. sovrintende all’attuazione della pianificazione strategica e operativa; b. cura l’attuazione dei programmi, dei progetti e degli obiettivi definiti dagli organi di governo, affidandone la gestione ai dirigenti e ai responsabili delle unità organizzative; c. propone agli organi di governo il Piano integrato di attività e organizzazione e gli altri atti previsti dalla normativa vigente, e ne cura l’attuazione; d. cura l’esecuzione delle deliberazioni degli organi di Ateneo; e. indirizza, coordina e verifica l’attività dei dirigenti e dei responsabili delle unità organizzative relativamente alle attività loro assegnate ed esercita il potere sostitutivo in caso di inerzia o per ragioni di necessità e urgenza; f. determina i criteri generali di organizzazione delle strutture amministrative e tecniche, sia dei servizi centrali di Ateneo, sia delle strutture didattico-scientifiche e di servizio, nominando, ove previsto, i rispettivi responsabili; g. adotta gli atti di gestione e i provvedimenti amministrativi ed esercita i poteri di utilizzo delle risorse economico finanziarie e quelli di acquisizione e utilizzo dei proventi, previsti nel presente Statuto o nei regolamenti d’Ateneo; h. stipula i contratti di interesse generale dell’Ateneo e sottoscrive le convenzioni necessarie alla gestione e all’organizzazione dei servizi previsti nel presente Statuto o nei regolamenti di Ateneo; i. promuove e resiste alle liti e alle controversie di lavoro riguardanti il personale tecnico-amministrativo, con il potere di conciliare e di transigere; j. partecipa, senza diritto di voto, alle sedute del Consiglio di Amministrazione e del Senato accademico; k. esercita ogni altro compito che gli è demandato dalla legislazione vigente, dal presente Statuto e dai regolamenti di Ateneo.";explicit_reference;1.0
16;regolamento:136:1;I Centri interuniversitari, i consorzi e gli altri organismi associativi di cui all’art. 39, commi 6 e 7 dello Statuto, sono regolati dalla legislazione vigente in materia e dalle apposite convenzioni attuative.;statuto:39;"Il Consiglio di Amministrazione, sentito il Senato accademico, può deliberare la costituzione di centri interdipartimentali di formazione e/o ricerca per lo svolgimento di attività formative e/o di ricerca di interesse comune, oppure di rilevante impegno, anche finanziario, che si esplichino su progetti o programmi di durata pluriennale e che coinvolgano docenti afferenti a più dipartimenti. Il Consiglio di Amministrazione, sentito il Senato accademico, può deliberare la costituzione di centri interdipartimentali di servizio per la predisposizione e la fornitura di servizi di interesse comune oppure per la gestione e l’utilizzazione di servizi ed apparecchiature complesse a carattere didattico o scientifico di uso e di interesse comune a più dipartimenti. La proposta di istituzione dei centri di cui ai commi 1 e 2 è formulata dai dipartimenti interessati, i quali devono assicurare per il loro funzionamento le necessarie risorse finanziarie, di personale e logistiche. È fatta salva la possibilità che i regolamenti dei dipartimenti prevedano la costituzione di centri dipartimentali per la gestione di particolari attività di formazione, di ricerca o di servizi. È fatta inoltre salva la possibilità che i regolamenti dei sistemi prevedano la costituzione al loro interno di centri di servizio. Per lo svolgimento di attività formative e/o di ricerca e/o di fornitura e gestione di servizi che interessino in via permanente l’intero Ateneo il Consiglio di Amministrazione, anche su proposta del Senato accademico, può istituire appositi centri di Ateneo; in tal caso il Consiglio di Amministrazione nell’istituire detti centri può assegnare risorse logistiche, di personale e finanziarie. Alle strutture di cui al presente comma il Consiglio di Amministrazione può conferire autonomia gestionale e amministrativa da esercitarsi secondo le modalità previste nel Regolamento di Ateneo per l’Amministrazione, la Finanza e la Contabilità. Analoga disciplina si applica ai centri di cui ai commi 1 e 2 che il Consiglio di Amministrazione, su proposta del Senato accademico, ritenga di valenza generale e permanente per l’Ateneo. Per lo svolgimento di attività formative e di ricerca di comune interesse, ovvero per lo svolgimento in collaborazione di attività istituzionali o di attività di supporto, strumentali o comunque collegate a esse di interesse comune, possono essere stabilite forme di collaborazione con altre università e/o enti pubblici e privati, attraverso la stipula di convenzioni ovvero la costituzione di centri interuniversitari e di consorzi di diritto pubblico. Per le medesime finalità di cui al comma 6 l’Università può stipulare nei limiti consentiti dalla legge contratti associativi per la costituzione o l’acquisizione di partecipazioni in organismi di diritto privato, sempre che sia garantita in base alla legge medesima o a valido patto sociale la responsabilità limitata dell’Università. Le procedure per la costituzione dei centri di cui al presente articolo e le norme generali per il loro funzionamento sono contenute nel Regolamento Generale di Ateneo. La stipulazione delle convenzioni e dei contratti di cui ai commi 6 e 7 è autorizzata, sentito il Senato accademico, dal Consiglio di Amministrazione.";explicit_reference;1.0
17;regolamento:137:1;Ai sensi e per gli effetti di cui all’art. 38 dello Statuto il presente Titolo contiene le norme generali per il funzionamento del Sistema Bibliotecario di Ateneo, del Sistema Museale di Ateneo e del Sistema Informatico di Ateneo e per le loro interconnessioni.;statuto:38;Il sistema bibliotecario di Ateneo è un sistema unitario e coordinato delle strutture bibliotecarie e documentali dell’Università di Pisa preposte allo sviluppo, alla gestione, alla fruizione, alla valorizzazione e alla conservazione del patrimonio bibliografico e documentale. In particolare, cura l’organizzazione dei servizi atti a favorire e promuovere l’accesso all’informazione bibliografica e la disseminazione della conoscenza attraverso le modalità tradizionali e mediante l’utilizzo delle nuove tecnologie e il sostegno all’accesso aperto alla letteratura scientifica di ogni ambito disciplinare, in funzione dell’esigenza della ricerca, della didattica e delle attività degli organi amministrativi e di valutazione dell’Ateneo. Il sistema bibliotecario di Ateneo è costituito dalle biblioteche dell’Università e dall’archivio centrale di Ateneo. Le norme generali per il funzionamento e l’interconnessione delle biblioteche sono definite nel Regolamento Generale di Ateneo. Il sistema museale di Ateneo, istituito al fine di sostenere e coordinare le strutture museali nello svolgimento dei loro compiti istituzionali di ricerca scientifica, di didattica e di promozione della cultura, ha quale obiettivo l’integrazione progressiva del complesso dei musei e delle collezioni dell’Ateneo, anche allo scopo di costruire un itinerario ideale che colleghi la memoria storica agli orizzonti attuali del sapere in una visione multidisciplinare, e l’ottimizzazione della gestione delle risorse. Il sistema museale di Ateneo è costituito dai musei e dalle collezioni universitarie. Le norme generali per il funzionamento e l’interconnessione dei musei e delle collezioni sono definite nel Regolamento Generale di Ateneo. Il sistema bibliotecario di Ateneo e il sistema museale di Ateneo definiscono quanto necessario ad assicurare il loro coordinamento. L’Ateneo assicura ai sistemi bibliotecario e museale autonomia gestionale e amministrativa, da esercitarsi secondo le modalità previste nel Regolamento per l’Amministrazione, la Finanza e la Contabilità. Il sistema informatico di Ateneo è un sistema unitario e coordinato delle strutture informatiche preposte all’organizzazione, alla gestione e allo sviluppo dei servizi informatici dell’Ateneo. Le norme generali per il funzionamento e le interconnessioni delle strutture sono definite nel Regolamento Generale di Ateneo. Il sistema informatico di Ateneo e l’eventuale competente struttura dell’amministrazione definiscono quanto necessario ad assicurare il loro coordinamento.;explicit_reference;1.0
18;regolamento:138:3;Ai sensi e per gli effetti di cui all’art. 38 dello Statuto, lo SBA è centro di responsabilità, dotato di autonomia gestionale e amministrativa ai sensi del Regolamento di Ateneo per l’amministrazione, la finanza e la contabilità.;statuto:38;Il sistema bibliotecario di Ateneo è un sistema unitario e coordinato delle strutture bibliotecarie e documentali dell’Università di Pisa preposte allo sviluppo, alla gestione, alla fruizione, alla valorizzazione e alla conservazione del patrimonio bibliografico e documentale. In particolare, cura l’organizzazione dei servizi atti a favorire e promuovere l’accesso all’informazione bibliografica e la disseminazione della conoscenza attraverso le modalità tradizionali e mediante l’utilizzo delle nuove tecnologie e il sostegno all’accesso aperto alla letteratura scientifica di ogni ambito disciplinare, in funzione dell’esigenza della ricerca, della didattica e delle attività degli organi amministrativi e di valutazione dell’Ateneo. Il sistema bibliotecario di Ateneo è costituito dalle biblioteche dell’Università e dall’archivio centrale di Ateneo. Le norme generali per il funzionamento e l’interconnessione delle biblioteche sono definite nel Regolamento Generale di Ateneo. Il sistema museale di Ateneo, istituito al fine di sostenere e coordinare le strutture museali nello svolgimento dei loro compiti istituzionali di ricerca scientifica, di didattica e di promozione della cultura, ha quale obiettivo l’integrazione progressiva del complesso dei musei e delle collezioni dell’Ateneo, anche allo scopo di costruire un itinerario ideale che colleghi la memoria storica agli orizzonti attuali del sapere in una visione multidisciplinare, e l’ottimizzazione della gestione delle risorse. Il sistema museale di Ateneo è costituito dai musei e dalle collezioni universitarie. Le norme generali per il funzionamento e l’interconnessione dei musei e delle collezioni sono definite nel Regolamento Generale di Ateneo. Il sistema bibliotecario di Ateneo e il sistema museale di Ateneo definiscono quanto necessario ad assicurare il loro coordinamento. L’Ateneo assicura ai sistemi bibliotecario e museale autonomia gestionale e amministrativa, da esercitarsi secondo le modalità previste nel Regolamento per l’Amministrazione, la Finanza e la Contabilità. Il sistema informatico di Ateneo è un sistema unitario e coordinato delle strutture informatiche preposte all’organizzazione, alla gestione e allo sviluppo dei servizi informatici dell’Ateneo. Le norme generali per il funzionamento e le interconnessioni delle strutture sono definite nel Regolamento Generale di Ateneo. Il sistema informatico di Ateneo e l’eventuale competente struttura dell’amministrazione definiscono quanto necessario ad assicurare il loro coordinamento.;explicit_reference;1.0
19;regolamento:138:2;Il sistema organizza e coordina altresì le attività trasversali ai poli bibliotecari, quali i cataloghi informatizzati di Ateneo, le risorse bibliografiche digitali e le riviste elettroniche. Gestisce l’archivio generale di Ateneo che conserva tutta la documentazione amministrativa in forma cartacea dell’Università di Pisa. Gestisce inoltre i servizi centralizzati per la documentazione amministrativa, il deposito e la conservazione delle tesi in formato elettronico, l’archivio ad accesso aperto delle pubblicazioni dell’Ateneo. Per i fini di cui al presente comma lo SBA può prevedere la costituzione di centri di servizi ai sensi dell’art. 39, comma 4, dello Statuto.;statuto:39:4;È fatta salva la possibilità che i regolamenti dei dipartimenti prevedano la costituzione di centri dipartimentali per la gestione di particolari attività di formazione, di ricerca o di servizi. È fatta inoltre salva la possibilità che i regolamenti dei sistemi prevedano la costituzione al loro interno di centri di servizio.;explicit_reference;1.0
20;regolamento:148:4;Ai sensi e per gli effetti di cui all’art. 38 dello Statuto, lo SMA è centro di responsabilità dotato di autonomia gestionale e amministrativa da esercitarsi secondo le modalità previste dal Regolamento di Ateneo per l’amministrazione, la finanza e la contabilità.;statuto:38;Il sistema bibliotecario di Ateneo è un sistema unitario e coordinato delle strutture bibliotecarie e documentali dell’Università di Pisa preposte allo sviluppo, alla gestione, alla fruizione, alla valorizzazione e alla conservazione del patrimonio bibliografico e documentale. In particolare, cura l’organizzazione dei servizi atti a favorire e promuovere l’accesso all’informazione bibliografica e la disseminazione della conoscenza attraverso le modalità tradizionali e mediante l’utilizzo delle nuove tecnologie e il sostegno all’accesso aperto alla letteratura scientifica di ogni ambito disciplinare, in funzione dell’esigenza della ricerca, della didattica e delle attività degli organi amministrativi e di valutazione dell’Ateneo. Il sistema bibliotecario di Ateneo è costituito dalle biblioteche dell’Università e dall’archivio centrale di Ateneo. Le norme generali per il funzionamento e l’interconnessione delle biblioteche sono definite nel Regolamento Generale di Ateneo. Il sistema museale di Ateneo, istituito al fine di sostenere e coordinare le strutture museali nello svolgimento dei loro compiti istituzionali di ricerca scientifica, di didattica e di promozione della cultura, ha quale obiettivo l’integrazione progressiva del complesso dei musei e delle collezioni dell’Ateneo, anche allo scopo di costruire un itinerario ideale che colleghi la memoria storica agli orizzonti attuali del sapere in una visione multidisciplinare, e l’ottimizzazione della gestione delle risorse. Il sistema museale di Ateneo è costituito dai musei e dalle collezioni universitarie. Le norme generali per il funzionamento e l’interconnessione dei musei e delle collezioni sono definite nel Regolamento Generale di Ateneo. Il sistema bibliotecario di Ateneo e il sistema museale di Ateneo definiscono quanto necessario ad assicurare il loro coordinamento. L’Ateneo assicura ai sistemi bibliotecario e museale autonomia gestionale e amministrativa, da esercitarsi secondo le modalità previste nel Regolamento per l’Amministrazione, la Finanza e la Contabilità. Il sistema informatico di Ateneo è un sistema unitario e coordinato delle strutture informatiche preposte all’organizzazione, alla gestione e allo sviluppo dei servizi informatici dell’Ateneo. Le norme generali per il funzionamento e le interconnessioni delle strutture sono definite nel Regolamento Generale di Ateneo. Il sistema informatico di Ateneo e l’eventuale competente struttura dell’amministrazione definiscono quanto necessario ad assicurare il loro coordinamento.;explicit_reference;1.0
21;regolamento:148:3;Per le attività di cui al comma 2, lo SMA può avvalersi anche di strutture o enti esterni all’Ateneo o da esso partecipati e può prevedere la costituzione di centri di servizi ai sensi dell’art. 39, comma 4 dello Statuto.;statuto:39:4;È fatta salva la possibilità che i regolamenti dei dipartimenti prevedano la costituzione di centri dipartimentali per la gestione di particolari attività di formazione, di ricerca o di servizi. È fatta inoltre salva la possibilità che i regolamenti dei sistemi prevedano la costituzione al loro interno di centri di servizio.;explicit_reference;1.0
22;regolamento:157:2;Ai sensi dell’art. 38, comma 3, dello Statuto, lo SMA definisce con il Sistema Bibliotecario di Ateneo quanto necessario ad assicurare il loro coordinamento.;statuto:38:3;Il sistema bibliotecario di Ateneo e il sistema museale di Ateneo definiscono quanto necessario ad assicurare il loro coordinamento. L’Ateneo assicura ai sistemi bibliotecario e museale autonomia gestionale e amministrativa, da esercitarsi secondo le modalità previste nel Regolamento per l’Amministrazione, la Finanza e la Contabilità.;explicit_reference;1.0
23;regolamento:158:2;Ai sensi e per gli effetti di cui all’art. 38 dello Statuto, il SIA è centro di responsabilità, dotato di autonomia gestionale e amministrativa ai sensi del Regolamento di Ateneo per l’amministrazione, la finanza e la contabilità.;statuto:38;Il sistema bibliotecario di Ateneo è un sistema unitario e coordinato delle strutture bibliotecarie e documentali dell’Università di Pisa preposte allo sviluppo, alla gestione, alla fruizione, alla valorizzazione e alla conservazione del patrimonio bibliografico e documentale. In particolare, cura l’organizzazione dei servizi atti a favorire e promuovere l’accesso all’informazione bibliografica e la disseminazione della conoscenza attraverso le modalità tradizionali e mediante l’utilizzo delle nuove tecnologie e il sostegno all’accesso aperto alla letteratura scientifica di ogni ambito disciplinare, in funzione dell’esigenza della ricerca, della didattica e delle attività degli organi amministrativi e di valutazione dell’Ateneo. Il sistema bibliotecario di Ateneo è costituito dalle biblioteche dell’Università e dall’archivio centrale di Ateneo. Le norme generali per il funzionamento e l’interconnessione delle biblioteche sono definite nel Regolamento Generale di Ateneo. Il sistema museale di Ateneo, istituito al fine di sostenere e coordinare le strutture museali nello svolgimento dei loro compiti istituzionali di ricerca scientifica, di didattica e di promozione della cultura, ha quale obiettivo l’integrazione progressiva del complesso dei musei e delle collezioni dell’Ateneo, anche allo scopo di costruire un itinerario ideale che colleghi la memoria storica agli orizzonti attuali del sapere in una visione multidisciplinare, e l’ottimizzazione della gestione delle risorse. Il sistema museale di Ateneo è costituito dai musei e dalle collezioni universitarie. Le norme generali per il funzionamento e l’interconnessione dei musei e delle collezioni sono definite nel Regolamento Generale di Ateneo. Il sistema bibliotecario di Ateneo e il sistema museale di Ateneo definiscono quanto necessario ad assicurare il loro coordinamento. L’Ateneo assicura ai sistemi bibliotecario e museale autonomia gestionale e amministrativa, da esercitarsi secondo le modalità previste nel Regolamento per l’Amministrazione, la Finanza e la Contabilità. Il sistema informatico di Ateneo è un sistema unitario e coordinato delle strutture informatiche preposte all’organizzazione, alla gestione e allo sviluppo dei servizi informatici dell’Ateneo. Le norme generali per il funzionamento e le interconnessioni delle strutture sono definite nel Regolamento Generale di Ateneo. Il sistema informatico di Ateneo e l’eventuale competente struttura dell’amministrazione definiscono quanto necessario ad assicurare il loro coordinamento.;explicit_reference;1.0
24;regolamento:158:3;Il SIA può prevedere la costituzione di centri di servizi ai sensi dell’art. 39, comma 4, dello Statuto.;statuto:39:4;È fatta salva la possibilità che i regolamenti dei dipartimenti prevedano la costituzione di centri dipartimentali per la gestione di particolari attività di formazione, di ricerca o di servizi. È fatta inoltre salva la possibilità che i regolamenti dei sistemi prevedano la costituzione al loro interno di centri di servizio.;explicit_reference;1.0
25;regolamento:16:1;Ai sensi dell’art. 12, comma 16, dello Statuto, il presente Capo disciplina le elezioni del Rettore.;statuto:12:16;Nel Regolamento Generale di Ateneo sono definite le procedure per le elezioni del Rettore, assicurando in ogni caso la segretezza del voto e l’impossibilità di risalire alla volontà espressa da ciascuno dei gruppi di votanti di cui al comma 4.;explicit_reference;1.0
26;regolamento:167:1;In attuazione dell’art. 38, comma 4, dello Statuto, al fine di assicurare un efficace ed efficiente coordinamento tra il sistema e la Direzione Infrastrutture Digitali, il Presidente e il Dirigente della direzione possono istituire tavoli di coordinamento su specifiche tematiche tecniche di comune interesse.;statuto:38:4;Il sistema informatico di Ateneo è un sistema unitario e coordinato delle strutture informatiche preposte all’organizzazione, alla gestione e allo sviluppo dei servizi informatici dell’Ateneo. Le norme generali per il funzionamento e le interconnessioni delle strutture sono definite nel Regolamento Generale di Ateneo. Il sistema informatico di Ateneo e l’eventuale competente struttura dell’amministrazione definiscono quanto necessario ad assicurare il loro coordinamento.;explicit_reference;1.0
27;regolamento:168:1;Ai sensi dell’art. 46 dello Statuto i regolamenti di funzionamento delle strutture didattiche, scientifiche e di servizio, a eccezione di quelli dei centri di Ateneo, sono approvati a maggioranza assoluta dei componenti del Consiglio della competente struttura e sono sottoposti al controllo di legittimità e di merito del Senato accademico secondo le modalità definite nei successivi commi.;statuto:46;Tutti gli altri regolamenti, ove la legge o il presente Statuto non li attribuisca alla competenza del Senato accademico o del Consiglio di Amministrazione, sono approvati dalle strutture competenti. Detti regolamenti sono comunque trasmessi al Senato accademico, che esercita il controllo di legittimità e di merito con le modalità di cui al Regolamento Generale di Ateneo.;explicit_reference;1.0
28;regolamento:170:7;Quanto previsto al comma 6 del presente articolo trova applicazione anche per i direttori di dipartimento, i presidenti dei sistemi e i direttori dei centri di Ateneo con autonomia gestionale in quanto essi, oltre a esercitare le funzioni connesse alle rispettive cariche, sono investiti di poteri dirigenziali e gestionali ai sensi dell’art. 42 comma 3 dello Statuto di Ateneo.;statuto:42:3;Ai dirigenti e a coloro che sono investiti di poteri dirigenziali e gestionali, ai sensi del Regolamento Generale di Ateneo, spettano le funzioni amministrative, gestionali e tecniche, mediante autonomi poteri di spesa, di organizzazione delle risorse umane e strumentali e di controllo, per lo svolgimento dei procedimenti a essi assegnati dai regolamenti, rimanendo responsabili dei relativi risultati. Tali funzioni sono esercitate, nei limiti delle risorse disponibili, in conformità ai principi di cui al comma 1 e in attuazione dei programmi e delle direttive fissate dagli organi di governo dell'Università e dagli organi collegiali delle strutture didattiche, scientifiche e di servizio.;explicit_reference;1.0
29;regolamento:25:1;"Ai sensi dell’art. 13, comma 19, dello Statuto, il presente Capo disciplina le elezioni delle seguenti rappresentanze nel Senato accademico: a) diciotto docenti a tempo pieno, eletti tra i professori e i ricercatori a tempo indeterminato, in numero di tre per ciascuno dei sei settori culturali in cui sono inquadrati i dipartimenti, in base all’allegato di cui all’art. 22, comma 14, dello Statuto. Dei suddetti tre rappresentanti per ogni settore culturale uno deve essere un Direttore di dipartimento; i restanti due devono essere professori di fasce diverse oppure un professore e un ricercatore; a.bis) un rappresentante dei ricercatori a tempo determinato, in regime di tempo pieno; b) tre componenti in rappresentanza del personale tecnico amministrativo in ruolo.";statuto:13:19;Il Regolamento Generale di Ateneo definisce le procedure elettorali delle varie componenti rappresentative.;explicit_reference;1.0
30;regolamento:25:1;"Ai sensi dell’art. 13, comma 19, dello Statuto, il presente Capo disciplina le elezioni delle seguenti rappresentanze nel Senato accademico: a) diciotto docenti a tempo pieno, eletti tra i professori e i ricercatori a tempo indeterminato, in numero di tre per ciascuno dei sei settori culturali in cui sono inquadrati i dipartimenti, in base all’allegato di cui all’art. 22, comma 14, dello Statuto. Dei suddetti tre rappresentanti per ogni settore culturale uno deve essere un Direttore di dipartimento; i restanti due devono essere professori di fasce diverse oppure un professore e un ricercatore; a.bis) un rappresentante dei ricercatori a tempo determinato, in regime di tempo pieno; b) tre componenti in rappresentanza del personale tecnico amministrativo in ruolo.";statuto:22:14;L’elenco dei dipartimenti con i relativi settori scientifico-disciplinari e il loro inquadramento nei settori culturali costituisce allegato al presente Statuto.;explicit_reference;1.0
